item,itemLabel
http://www.wikidata.org/entity/Q89803518,Arca Mala de Viagem
http://www.wikidata.org/entity/Q63096220,Arredo camera da letto
http://www.wikidata.org/entity/Q10422378,Augsburg Art Cabinet
http://www.wikidata.org/entity/Q65771811,Baú de viagem
http://www.wikidata.org/entity/Q61911838,Bahut-étagère la berce des près
http://www.wikidata.org/entity/Q30107620,bonsai display table
http://www.wikidata.org/entity/Q60758813,Box with Military Scenes from Antiquity
http://www.wikidata.org/entity/Q89812048,Cabide de Pé
http://www.wikidata.org/entity/Q29383668,Cabinet on stand
http://www.wikidata.org/entity/Q65771836,Cadeira furada feminina
http://www.wikidata.org/entity/Q65771837,Cadeira furada masculina
http://www.wikidata.org/entity/Q60756669,Candle Bracket Pair
http://www.wikidata.org/entity/Q100729386,"Caps for furniture, Yale University Art Gallery, inv. 1938.5999.3914"
http://www.wikidata.org/entity/Q102963048,Cassone from the Colonna family
http://www.wikidata.org/entity/Q102963052,Cassone with Mannerist Design Elements
http://www.wikidata.org/entity/Q60753246,Chair or Bed Leg with the God Bes
http://www.wikidata.org/entity/Q60746250,Chest of Drawers
http://www.wikidata.org/entity/Q97621371,Classic Chinese furniture
http://www.wikidata.org/entity/Q29383651,Commode à vantaux
http://www.wikidata.org/entity/Q3815563,Confidant from the Batlló House
http://www.wikidata.org/entity/Q60756790,"Console Table Depicting Chronos, or Father Time"
http://www.wikidata.org/entity/Q60740818,Console Table Top
http://www.wikidata.org/entity/Q60740021,Daffodil Table Lamp
http://www.wikidata.org/entity/Q29382914,Desk and Bookcase
http://www.wikidata.org/entity/Q60740552,Door and Frame
http://www.wikidata.org/entity/Q60759878,Door to Gothic Marriage Chest
http://www.wikidata.org/entity/Q60781073,"Doorway from the Isaac Gillet House, Painesville, Ohio"
http://www.wikidata.org/entity/Q33850087,Eames Storage Unit
http://www.wikidata.org/entity/Q56229096,entrance desk S.M.A.K. Gent
http://www.wikidata.org/entity/Q60762909,Fire Screen and Textile Panels
http://www.wikidata.org/entity/Q106873717,"Furniture, AO 28428, Department of Near Eastern Antiquities of the Louvre"
http://www.wikidata.org/entity/Q60740283,Gothic Marriage Chest
http://www.wikidata.org/entity/Q60778169,Gothic Marriage Chest
http://www.wikidata.org/entity/Q29382927,High chest of drawers
http://www.wikidata.org/entity/Q65771943,Leito de casal
http://www.wikidata.org/entity/Q300702,Liège-Aachen Baroque furniture
http://www.wikidata.org/entity/Q60752394,Louis XVI Style Candle Bracket
http://www.wikidata.org/entity/Q24930790,Madame Guimard's furniture
http://www.wikidata.org/entity/Q103305057,Marital stool with male and female caryatids
http://www.wikidata.org/entity/Q89814507,Mesa de Cavalete
http://www.wikidata.org/entity/Q89814509,Mesa de Centro
http://www.wikidata.org/entity/Q89814513,Mesa de Jogo
http://www.wikidata.org/entity/Q61974356,Meuble mural décoré d'ombellifères
http://www.wikidata.org/entity/Q106582784,Miniature chair from Skyros
http://www.wikidata.org/entity/Q60781129,Mirror with Ornamented Frame
http://www.wikidata.org/entity/Q63077668,Mobilio sala tavola matematica
http://www.wikidata.org/entity/Q102969135,Oak chest with biblical subjects
http://www.wikidata.org/entity/Q65771774,Oratório de pousar
http://www.wikidata.org/entity/Q65772000,Oratório de pousar com grupo escultórico religioso
http://www.wikidata.org/entity/Q60761035,Pair of Andirons
http://www.wikidata.org/entity/Q60750641,Pair of Armchairs
http://www.wikidata.org/entity/Q60742010,Pair of Bookcases
http://www.wikidata.org/entity/Q60758186,Pair of Candle Stands
http://www.wikidata.org/entity/Q60754968,Pair of Corner Cabinets
http://www.wikidata.org/entity/Q60746105,Pair of Doors
http://www.wikidata.org/entity/Q60761156,Pair of Louis XVI Style Candle Brackets
http://www.wikidata.org/entity/Q60761430,Pair of Panels from a Choir Stall
http://www.wikidata.org/entity/Q60763451,Pair of Stools
http://www.wikidata.org/entity/Q60749904,Panel from a Choir Stall
http://www.wikidata.org/entity/Q60758365,Pansy Border Table Lamp
http://www.wikidata.org/entity/Q60757482,Peony Floor Lamp with a Bamboo Base
http://www.wikidata.org/entity/Q16671701,Provençal bread trough
http://www.wikidata.org/entity/Q27945811,Scenes of Fables
http://www.wikidata.org/entity/Q96428044,Set of chests of the Paulista Museum
http://www.wikidata.org/entity/Q60751318,Side Table with Everted Ends
http://www.wikidata.org/entity/Q60759602,Sideboard and Cellarette
http://www.wikidata.org/entity/Q29383659,Small desk with folding top
http://www.wikidata.org/entity/Q97178856,Table of Don Rodrigo Calderón
http://www.wikidata.org/entity/Q103310411,Throne with tapestry seat
http://www.wikidata.org/entity/Q103310522,Transitional Side Chair
http://www.wikidata.org/entity/Q60757098,Upper Paneling from a Sacristy Armoire
http://www.wikidata.org/entity/Q97657753,Wheelchair accessible seats
